"instance","date","disease_state","value","age","race","hcez"
1,2024-11-22,"New Exposed (S)",86.7492805926574,"0-17","Hispanic","North/Central"
1,2024-11-23,"New Exposed (S)",85.7513269319593,"0-17","Hispanic","North/Central"
1,2024-11-24,"New Exposed (S)",86.3535135916169,"0-17","Hispanic","North/Central"
1,2024-11-25,"New Exposed (S)",86.3032203963796,"0-17","Hispanic","North/Central"
1,2024-11-26,"New Exposed (S)",86.0890665428852,"0-17","Hispanic","North/Central"
1,2024-11-27,"New Exposed (S)",85.7997752088605,"0-17","Hispanic","North/Central"
1,2024-11-28,"New Exposed (S)",85.9034243546289,"0-17","Hispanic","North/Central"
1,2024-11-29,"New Exposed (S)",84.5285295779966,"0-17","Hispanic","North/Central"
1,2024-11-30,"New Exposed (S)",83.6077158609874,"0-17","Hispanic","North/Central"
1,2024-12-01,"New Exposed (S)",84.889967350254,"0-17","Hispanic","North/Central"
1,2024-12-02,"New Exposed (S)",85.21371555999,"0-17","Hispanic","North/Central"
1,2024-12-03,"New Exposed (S)",85.1380601402632,"0-17","Hispanic","North/Central"
1,2024-12-04,"New Exposed (S)",85.0993245241824,"0-17","Hispanic","North/Central"
1,2024-12-05,"New Exposed (S)",85.300309862239,"0-17","Hispanic","North/Central"
1,2024-12-06,"New Exposed (S)",84.5355498048556,"0-17","Hispanic","North/Central"
1,2024-12-07,"New Exposed (S)",83.7673975764365,"0-17","Hispanic","North/Central"
1,2024-12-08,"New Exposed (S)",85.0701179610149,"0-17","Hispanic","North/Central"
1,2024-12-09,"New Exposed (S)",85.3391769405696,"0-17","Hispanic","North/Central"
1,2024-12-10,"New Exposed (S)",85.3448091992265,"0-17","Hispanic","North/Central"
1,2024-12-11,"New Exposed (S)",85.7244017166545,"0-17","Hispanic","North/Central"
1,2024-12-12,"New Exposed (S)",85.6099755329623,"0-17","Hispanic","North/Central"
